lexeme,stratum,det_flag,diagnostic,op,sentence,flag,needs_realization
from,preposition,,predeterminer_position,both,From the something happened.,,
from,preposition,,determiner_function,both,From something happened.,,
from,preposition,,fused_head,both,Someone saw from.,,
from,preposition,,partitive_of,both,From of the somethings happened.,,
from,preposition,,un_prefix,both,Something was unfrom.,orthographic_un,
from,preposition,,ly_adverb_base,both,Something happened from+ly.,,morphology+ly
from,preposition,,ness_nominalization,both,The from+ness of something.,,morphology+ness
from,preposition,,seem_complement,both,Something seemed from.,,
from,preposition,,become_complement,both,Something became from.,,
from,preposition,,coordination_with_adj,judgment,Something was old and from.,,
from,preposition,,fronting_pp,judgment,"From something, something happened.",,
from,preposition,,stranding,judgment,The something that something was from __,,
into,preposition,,very_mod,both,Something was very into.,,
into,preposition,,too_mod,both,Something was too into.,,
into,preposition,,comparative_more,both,Something was more into than something else.,,
into,preposition,,inflectional_comparison,both,Something was into+er than something else.,,morphology+er
into,preposition,,right_mod,judgment,Something was right into.,,
into,preposition,,enough_postposed,judgment,Something was into enough.,,
into,preposition,,enough_preposed,judgment,Something was enough into.,,
into,preposition,,np_complement,both,Something was into something.,,
into,preposition,,gerund_gap_complement,judgment,Something was into doing.,,
into,preposition,,attributive,both,The into something happened.,,
into,preposition,,predicative_be,both,Something was into.,,
into,preposition,,postpositive,judgment,The something into happened.,note_postpositive,
into,preposition,,predeterminer_position,both,Into the something happened.,,
into,preposition,,determiner_function,both,Into something happened.,,
into,preposition,,fused_head,both,Someone saw into.,,
into,preposition,,partitive_of,both,Into of the somethings happened.,,
into,preposition,,un_prefix,both,Something was uninto.,orthographic_un,
into,preposition,,ly_adverb_base,both,Something happened into+ly.,,morphology+ly
into,preposition,,ness_nominalization,both,The into+ness of something.,,morphology+ness
into,preposition,,seem_complement,both,Something seemed into.,,
into,preposition,,become_complement,both,Something became into.,,
into,preposition,,coordination_with_adj,judgment,Something was old and into.,,
into,preposition,,fronting_pp,judgment,"Into something, something happened.",,
into,preposition,,stranding,judgment,The something that something was into __,,
onto,preposition,,very_mod,both,Something was very onto.,,
onto,preposition,,too_mod,both,Something was too onto.,,
onto,preposition,,comparative_more,both,Something was more onto than something else.,,
onto,preposition,,inflectional_comparison,both,Something was onto+er than something else.,,morphology+er
onto,preposition,,right_mod,judgment,Something was right onto.,,
onto,preposition,,enough_postposed,judgment,Something was onto enough.,,
onto,preposition,,enough_preposed,judgment,Something was enough onto.,,
onto,preposition,,np_complement,both,Something was onto something.,,
onto,preposition,,gerund_gap_complement,judgment,Something was onto doing.,,
onto,preposition,,attributive,both,The onto something happened.,,
onto,preposition,,predicative_be,both,Something was onto.,,
onto,preposition,,postpositive,judgment,The something onto happened.,note_postpositive,
onto,preposition,,predeterminer_position,both,Onto the something happened.,,
onto,preposition,,determiner_function,both,Onto something happened.,,
onto,preposition,,fused_head,both,Someone saw onto.,,
onto,preposition,,partitive_of,both,Onto of the somethings happened.,,
onto,preposition,,un_prefix,both,Something was unonto.,orthographic_un,
onto,preposition,,ly_adverb_base,both,Something happened onto+ly.,,morphology+ly
onto,preposition,,ness_nominalization,both,The onto+ness of something.,,morphology+ness
onto,preposition,,seem_complement,both,Something seemed onto.,,
onto,preposition,,become_complement,both,Something became onto.,,
onto,preposition,,coordination_with_adj,judgment,Something was old and onto.,,
onto,preposition,,fronting_pp,judgment,"Onto something, something happened.",,
onto,preposition,,stranding,judgment,The something that something was onto __,,
upon,preposition,,very_mod,both,Something was very upon.,,
upon,preposition,,too_mod,both,Something was too upon.,,
upon,preposition,,comparative_more,both,Something was more upon than something else.,,
upon,preposition,,inflectional_comparison,both,Something was upon+er than something else.,,morphology+er
upon,preposition,,right_mod,judgment,Something was right upon.,,
upon,preposition,,enough_postposed,judgment,Something was upon enough.,,
upon,preposition,,enough_preposed,judgment,Something was enough upon.,,
upon,preposition,,np_complement,both,Something was upon something.,,
upon,preposition,,gerund_gap_complement,judgment,Something was upon doing.,,
upon,preposition,,attributive,both,The upon something happened.,,
upon,preposition,,predicative_be,both,Something was upon.,,
upon,preposition,,postpositive,judgment,The something upon happened.,note_postpositive,
upon,preposition,,predeterminer_position,both,Upon the something happened.,,
upon,preposition,,determiner_function,both,Upon something happened.,,
upon,preposition,,fused_head,both,Someone saw upon.,,
upon,preposition,,partitive_of,both,Upon of the somethings happened.,,
upon,preposition,,un_prefix,both,Something was unupon.,orthographic_un,
upon,preposition,,ly_adverb_base,both,Something happened upon+ly.,,morphology+ly
upon,preposition,,ness_nominalization,both,The upon+ness of something.,,morphology+ness
upon,preposition,,seem_complement,both,Something seemed upon.,,
upon,preposition,,become_complement,both,Something became upon.,,
upon,preposition,,coordination_with_adj,judgment,Something was old and upon.,,
upon,preposition,,fronting_pp,judgment,"Upon something, something happened.",,
upon,preposition,,stranding,judgment,The something that something was upon __,,
with,preposition,,very_mod,both,Something was very with.,,
with,preposition,,too_mod,both,Something was too with.,,
with,preposition,,comparative_more,both,Something was more with than something else.,,
with,preposition,,inflectional_comparison,both,Something was with+er than something else.,,morphology+er
with,preposition,,right_mod,judgment,Something was right with.,,
with,preposition,,enough_postposed,judgment,Something was with enough.,,
with,preposition,,enough_preposed,judgment,Something was enough with.,,
with,preposition,,np_complement,both,Something was with something.,,
with,preposition,,gerund_gap_complement,judgment,Something was with doing.,,
with,preposition,,attributive,both,The with something happened.,,
with,preposition,,predicative_be,both,Something was with.,,
with,preposition,,postpositive,judgment,The something with happened.,note_postpositive,
with,preposition,,predeterminer_position,both,With the something happened.,,
with,preposition,,determiner_function,both,With something happened.,,
with,preposition,,fused_head,both,Someone saw with.,,
with,preposition,,partitive_of,both,With of the somethings happened.,,
with,preposition,,un_prefix,both,Something was unwith.,orthographic_un,
with,preposition,,ly_adverb_base,both,Something happened with+ly.,,morphology+ly
with,preposition,,ness_nominalization,both,The with+ness of something.,,morphology+ness
with,preposition,,seem_complement,both,Something seemed with.,,
with,preposition,,become_complement,both,Something became with.,,
with,preposition,,coordination_with_adj,judgment,Something was old and with.,,
with,preposition,,fronting_pp,judgment,"With something, something happened.",,
with,preposition,,stranding,judgment,The something that something was with __,,
as,preposition,,very_mod,both,Something was very as.,,
as,preposition,,too_mod,both,Something was too as.,,
as,preposition,,comparative_more,both,Something was more as than something else.,,
as,preposition,,inflectional_comparison,both,Something was as+er than something else.,,morphology+er
as,preposition,,right_mod,judgment,Something was right as.,,
as,preposition,,enough_postposed,judgment,Something was as enough.,,
as,preposition,,enough_preposed,judgment,Something was enough as.,,
as,preposition,,np_complement,both,Something was as something.,,
as,preposition,,gerund_gap_complement,judgment,Something was as doing.,,
as,preposition,,attributive,both,The as something happened.,,
as,preposition,,predicative_be,both,Something was as.,,
as,preposition,,postpositive,judgment,The something as happened.,note_postpositive,
as,preposition,,predeterminer_position,both,As the something happened.,,
as,preposition,,determiner_function,both,As something happened.,,
as,preposition,,fused_head,both,Someone saw as.,,
as,preposition,,partitive_of,both,As of the somethings happened.,,
as,preposition,,un_prefix,both,Something was unas.,orthographic_un,
as,preposition,,ly_adverb_base,both,Something happened as+ly.,,morphology+ly
as,preposition,,ness_nominalization,both,The as+ness of something.,,morphology+ness
as,preposition,,seem_complement,both,Something seemed as.,,
as,preposition,,become_complement,both,Something became as.,,
as,preposition,,coordination_with_adj,judgment,Something was old and as.,,
as,preposition,,fronting_pp,judgment,"As something, something happened.",,
as,preposition,,stranding,judgment,The something that something was as __,,
until,preposition,,very_mod,both,Something was very until.,,
until,preposition,,too_mod,both,Something was too until.,,
until,preposition,,comparative_more,both,Something was more until than something else.,,
until,preposition,,inflectional_comparison,both,Something was until+er than something else.,,morphology+er
until,preposition,,right_mod,judgment,Something was right until.,,
until,preposition,,enough_postposed,judgment,Something was until enough.,,
until,preposition,,enough_preposed,judgment,Something was enough until.,,
until,preposition,,np_complement,both,Something was until something.,,
until,preposition,,gerund_gap_complement,judgment,Something was until doing.,,
until,preposition,,attributive,both,The until something happened.,,
until,preposition,,predicative_be,both,Something was until.,,
until,preposition,,postpositive,judgment,The something until happened.,note_postpositive,
until,preposition,,predeterminer_position,both,Until the something happened.,,
until,preposition,,determiner_function,both,Until something happened.,,
until,preposition,,fused_head,both,Someone saw until.,,
until,preposition,,partitive_of,both,Until of the somethings happened.,,
until,preposition,,un_prefix,both,Something was ununtil.,orthographic_un,
until,preposition,,ly_adverb_base,both,Something happened until+ly.,,morphology+ly
until,preposition,,ness_nominalization,both,The until+ness of something.,,morphology+ness
until,preposition,,seem_complement,both,Something seemed until.,,
until,preposition,,become_complement,both,Something became until.,,
until,preposition,,coordination_with_adj,judgment,Something was old and until.,,
until,preposition,,fronting_pp,judgment,"Until something, something happened.",,
until,preposition,,stranding,judgment,The something that something was until __,,
aboard,preposition,,very_mod,both,Something was very aboard.,,
aboard,preposition,,too_mod,both,Something was too aboard.,,
aboard,preposition,,comparative_more,both,Something was more aboard than something else.,,
aboard,preposition,,inflectional_comparison,both,Something was aboard+er than something else.,,morphology+er
aboard,preposition,,right_mod,judgment,Something was right aboard.,,
aboard,preposition,,enough_postposed,judgment,Something was aboard enough.,,
aboard,preposition,,enough_preposed,judgment,Something was enough aboard.,,
aboard,preposition,,np_complement,both,Something was aboard something.,,
aboard,preposition,,gerund_gap_complement,judgment,Something was aboard doing.,,
aboard,preposition,,attributive,both,The aboard something happened.,,
aboard,preposition,,predicative_be,both,Something was aboard.,,
aboard,preposition,,postpositive,judgment,The something aboard happened.,note_postpositive,
aboard,preposition,,predeterminer_position,both,Aboard the something happened.,,
aboard,preposition,,determiner_function,both,Aboard something happened.,,
aboard,preposition,,fused_head,both,Someone saw aboard.,,
aboard,preposition,,partitive_of,both,Aboard of the somethings happened.,,
aboard,preposition,,un_prefix,both,Something was unaboard.,orthographic_un,
aboard,preposition,,ly_adverb_base,both,Something happened aboard+ly.,,morphology+ly
aboard,preposition,,ness_nominalization,both,The aboard+ness of something.,,morphology+ness
aboard,preposition,,seem_complement,both,Something seemed aboard.,,
aboard,preposition,,become_complement,both,Something became aboard.,,
aboard,preposition,,coordination_with_adj,judgment,Something was old and aboard.,,
aboard,preposition,,fronting_pp,judgment,"Aboard something, something happened.",,
aboard,preposition,,stranding,judgment,The something that something was aboard __,,
about,preposition,,very_mod,both,Something was very about.,,
about,preposition,,too_mod,both,Something was too about.,,
about,preposition,,comparative_more,both,Something was more about than something else.,,
about,preposition,,inflectional_comparison,both,Something was about+er than something else.,,morphology+er
about,preposition,,right_mod,judgment,Something was right about.,,
about,preposition,,enough_postposed,judgment,Something was about enough.,,
about,preposition,,enough_preposed,judgment,Something was enough about.,,
about,preposition,,np_complement,both,Something was about something.,,
about,preposition,,gerund_gap_complement,judgment,Something was about doing.,,
about,preposition,,attributive,both,The about something happened.,,
about,preposition,,predicative_be,both,Something was about.,,
about,preposition,,postpositive,judgment,The something about happened.,note_postpositive,
about,preposition,,predeterminer_position,both,About the something happened.,,
about,preposition,,determiner_function,both,About something happened.,,
about,preposition,,fused_head,both,Someone saw about.,,
about,preposition,,partitive_of,both,About of the somethings happened.,,
about,preposition,,un_prefix,both,Something was unabout.,orthographic_un,
about,preposition,,ly_adverb_base,both,Something happened about+ly.,,morphology+ly
about,preposition,,ness_nominalization,both,The about+ness of something.,,morphology+ness
about,preposition,,seem_complement,both,Something seemed about.,,
about,preposition,,become_complement,both,Something became about.,,
about,preposition,,coordination_with_adj,judgment,Something was old and about.,,
about,preposition,,fronting_pp,judgment,"About something, something happened.",,
about,preposition,,stranding,judgment,The something that something was about __,,
above,preposition,,very_mod,both,Something was very above.,,
above,preposition,,too_mod,both,Something was too above.,,
above,preposition,,comparative_more,both,Something was more above than something else.,,
above,preposition,,inflectional_comparison,both,Something was above+er than something else.,,morphology+er
above,preposition,,right_mod,judgment,Something was right above.,,
above,preposition,,enough_postposed,judgment,Something was above enough.,,
above,preposition,,enough_preposed,judgment,Something was enough above.,,
above,preposition,,np_complement,both,Something was above something.,,
above,preposition,,gerund_gap_complement,judgment,Something was above doing.,,
above,preposition,,attributive,both,The above something happened.,,
above,preposition,,predicative_be,both,Something was above.,,
above,preposition,,postpositive,judgment,The something above happened.,note_postpositive,
above,preposition,,predeterminer_position,both,Above the something happened.,,
above,preposition,,determiner_function,both,Above something happened.,,
above,preposition,,fused_head,both,Someone saw above.,,
above,preposition,,partitive_of,both,Above of the somethings happened.,,
above,preposition,,un_prefix,both,Something was unabove.,orthographic_un,
above,preposition,,ly_adverb_base,both,Something happened above+ly.,,morphology+ly
above,preposition,,ness_nominalization,both,The above+ness of something.,,morphology+ness
above,preposition,,seem_complement,both,Something seemed above.,,
above,preposition,,become_complement,both,Something became above.,,
above,preposition,,coordination_with_adj,judgment,Something was old and above.,,
above,preposition,,fronting_pp,judgment,"Above something, something happened.",,
above,preposition,,stranding,judgment,The something that something was above __,,
across,preposition,,very_mod,both,Something was very across.,,
across,preposition,,too_mod,both,Something was too across.,,
across,preposition,,comparative_more,both,Something was more across than something else.,,
across,preposition,,inflectional_comparison,both,Something was across+er than something else.,,morphology+er
across,preposition,,right_mod,judgment,Something was right across.,,
across,preposition,,enough_postposed,judgment,Something was across enough.,,
across,preposition,,enough_preposed,judgment,Something was enough across.,,
across,preposition,,np_complement,both,Something was across something.,,
across,preposition,,gerund_gap_complement,judgment,Something was across doing.,,
across,preposition,,attributive,both,The across something happened.,,
across,preposition,,predicative_be,both,Something was across.,,
across,preposition,,postpositive,judgment,The something across happened.,note_postpositive,
across,preposition,,predeterminer_position,both,Across the something happened.,,
across,preposition,,determiner_function,both,Across something happened.,,
across,preposition,,fused_head,both,Someone saw across.,,
across,preposition,,partitive_of,both,Across of the somethings happened.,,
across,preposition,,un_prefix,both,Something was unacross.,orthographic_un,
across,preposition,,ly_adverb_base,both,Something happened across+ly.,,morphology+ly
across,preposition,,ness_nominalization,both,The across+ness of something.,,morphology+ness
across,preposition,,seem_complement,both,Something seemed across.,,
across,preposition,,become_complement,both,Something became across.,,
across,preposition,,coordination_with_adj,judgment,Something was old and across.,,
across,preposition,,fronting_pp,judgment,"Across something, something happened.",,
across,preposition,,stranding,judgment,The something that something was across __,,
after,preposition,,very_mod,both,Something was very after.,,
after,preposition,,too_mod,both,Something was too after.,,
after,preposition,,comparative_more,both,Something was more after than something else.,,
after,preposition,,inflectional_comparison,both,Something was after+er than something else.,,morphology+er
after,preposition,,right_mod,judgment,Something was right after.,,
after,preposition,,enough_postposed,judgment,Something was after enough.,,
after,preposition,,enough_preposed,judgment,Something was enough after.,,
after,preposition,,np_complement,both,Something was after something.,,
after,preposition,,gerund_gap_complement,judgment,Something was after doing.,,
after,preposition,,attributive,both,The after something happened.,,
after,preposition,,predicative_be,both,Something was after.,,
after,preposition,,postpositive,judgment,The something after happened.,note_postpositive,
after,preposition,,predeterminer_position,both,After the something happened.,,
after,preposition,,determiner_function,both,After something happened.,,
after,preposition,,fused_head,both,Someone saw after.,,
after,preposition,,partitive_of,both,After of the somethings happened.,,
after,preposition,,un_prefix,both,Something was unafter.,orthographic_un,
after,preposition,,ly_adverb_base,both,Something happened after+ly.,,morphology+ly
after,preposition,,ness_nominalization,both,The after+ness of something.,,morphology+ness
after,preposition,,seem_complement,both,Something seemed after.,,
after,preposition,,become_complement,both,Something became after.,,
after,preposition,,coordination_with_adj,judgment,Something was old and after.,,
after,preposition,,fronting_pp,judgment,"After something, something happened.",,
after,preposition,,stranding,judgment,The something that something was after __,,
against,preposition,,very_mod,both,Something was very against.,,
against,preposition,,too_mod,both,Something was too against.,,
against,preposition,,comparative_more,both,Something was more against than something else.,,
against,preposition,,inflectional_comparison,both,Something was against+er than something else.,,morphology+er
against,preposition,,right_mod,judgment,Something was right against.,,
against,preposition,,enough_postposed,judgment,Something was against enough.,,
against,preposition,,enough_preposed,judgment,Something was enough against.,,
against,preposition,,np_complement,both,Something was against something.,,
against,preposition,,gerund_gap_complement,judgment,Something was against doing.,,
against,preposition,,attributive,both,The against something happened.,,
against,preposition,,predicative_be,both,Something was against.,,
against,preposition,,postpositive,judgment,The something against happened.,note_postpositive,
against,preposition,,predeterminer_position,both,Against the something happened.,,
against,preposition,,determiner_function,both,Against something happened.,,
against,preposition,,fused_head,both,Someone saw against.,,
against,preposition,,partitive_of,both,Against of the somethings happened.,,
against,preposition,,un_prefix,both,Something was unagainst.,orthographic_un,
against,preposition,,ly_adverb_base,both,Something happened against+ly.,,morphology+ly
against,preposition,,ness_nominalization,both,The against+ness of something.,,morphology+ness
against,preposition,,seem_complement,both,Something seemed against.,,
against,preposition,,become_complement,both,Something became against.,,
against,preposition,,coordination_with_adj,judgment,Something was old and against.,,
against,preposition,,fronting_pp,judgment,"Against something, something happened.",,
against,preposition,,stranding,judgment,The something that something was against __,,
along,preposition,,very_mod,both,Something was very along.,,
along,preposition,,too_mod,both,Something was too along.,,
along,preposition,,comparative_more,both,Something was more along than something else.,,
along,preposition,,inflectional_comparison,both,Something was along+er than something else.,,morphology+er
along,preposition,,right_mod,judgment,Something was right along.,,
along,preposition,,enough_postposed,judgment,Something was along enough.,,
along,preposition,,enough_preposed,judgment,Something was enough along.,,
along,preposition,,np_complement,both,Something was along something.,,
along,preposition,,gerund_gap_complement,judgment,Something was along doing.,,
along,preposition,,attributive,both,The along something happened.,,
along,preposition,,predicative_be,both,Something was along.,,
along,preposition,,postpositive,judgment,The something along happened.,note_postpositive,
along,preposition,,predeterminer_position,both,Along the something happened.,,
along,preposition,,determiner_function,both,Along something happened.,,
along,preposition,,fused_head,both,Someone saw along.,,
along,preposition,,partitive_of,both,Along of the somethings happened.,,
along,preposition,,un_prefix,both,Something was unalong.,orthographic_un,
along,preposition,,ly_adverb_base,both,Something happened along+ly.,,morphology+ly
along,preposition,,ness_nominalization,both,The along+ness of something.,,morphology+ness
along,preposition,,seem_complement,both,Something seemed along.,,
along,preposition,,become_complement,both,Something became along.,,
along,preposition,,coordination_with_adj,judgment,Something was old and along.,,
along,preposition,,fronting_pp,judgment,"Along something, something happened.",,
along,preposition,,stranding,judgment,The something that something was along __,,
alongside,preposition,,very_mod,both,Something was very alongside.,,
alongside,preposition,,too_mod,both,Something was too alongside.,,
alongside,preposition,,comparative_more,both,Something was more alongside than something else.,,
alongside,preposition,,inflectional_comparison,both,Something was alongside+er than something else.,,morphology+er
alongside,preposition,,right_mod,judgment,Something was right alongside.,,
alongside,preposition,,enough_postposed,judgment,Something was alongside enough.,,
alongside,preposition,,enough_preposed,judgment,Something was enough alongside.,,
alongside,preposition,,np_complement,both,Something was alongside something.,,
alongside,preposition,,gerund_gap_complement,judgment,Something was alongside doing.,,
alongside,preposition,,attributive,both,The alongside something happened.,,
alongside,preposition,,predicative_be,both,Something was alongside.,,
alongside,preposition,,postpositive,judgment,The something alongside happened.,note_postpositive,
alongside,preposition,,predeterminer_position,both,Alongside the something happened.,,
alongside,preposition,,determiner_function,both,Alongside something happened.,,
alongside,preposition,,fused_head,both,Someone saw alongside.,,
alongside,preposition,,partitive_of,both,Alongside of the somethings happened.,,
alongside,preposition,,un_prefix,both,Something was unalongside.,orthographic_un,
alongside,preposition,,ly_adverb_base,both,Something happened alongside+ly.,,morphology+ly
alongside,preposition,,ness_nominalization,both,The alongside+ness of something.,,morphology+ness
alongside,preposition,,seem_complement,both,Something seemed alongside.,,
alongside,preposition,,become_complement,both,Something became alongside.,,
alongside,preposition,,coordination_with_adj,judgment,Something was old and alongside.,,
alongside,preposition,,fronting_pp,judgment,"Alongside something, something happened.",,
alongside,preposition,,stranding,judgment,The something that something was alongside __,,
apropos,preposition,,very_mod,both,Something was very apropos.,,
apropos,preposition,,too_mod,both,Something was too apropos.,,
apropos,preposition,,comparative_more,both,Something was more apropos than something else.,,
apropos,preposition,,inflectional_comparison,both,Something was apropos+er than something else.,,morphology+er
apropos,preposition,,right_mod,judgment,Something was right apropos.,,
apropos,preposition,,enough_postposed,judgment,Something was apropos enough.,,
apropos,preposition,,enough_preposed,judgment,Something was enough apropos.,,
apropos,preposition,,np_complement,both,Something was apropos something.,,
apropos,preposition,,gerund_gap_complement,judgment,Something was apropos doing.,,
apropos,preposition,,attributive,both,The apropos something happened.,,
apropos,preposition,,predicative_be,both,Something was apropos.,,
apropos,preposition,,postpositive,judgment,The something apropos happened.,note_postpositive,
apropos,preposition,,predeterminer_position,both,Apropos the something happened.,,
apropos,preposition,,determiner_function,both,Apropos something happened.,,
apropos,preposition,,fused_head,both,Someone saw apropos.,,
apropos,preposition,,partitive_of,both,Apropos of the somethings happened.,,
apropos,preposition,,un_prefix,both,Something was unapropos.,orthographic_un,
apropos,preposition,,ly_adverb_base,both,Something happened apropos+ly.,,morphology+ly
apropos,preposition,,ness_nominalization,both,The apropos+ness of something.,,morphology+ness
apropos,preposition,,seem_complement,both,Something seemed apropos.,,
apropos,preposition,,become_complement,both,Something became apropos.,,
apropos,preposition,,coordination_with_adj,judgment,Something was old and apropos.,,
apropos,preposition,,fronting_pp,judgment,"Apropos something, something happened.",,
apropos,preposition,,stranding,judgment,The something that something was apropos __,,
around,preposition,,very_mod,both,Something was very around.,,
around,preposition,,too_mod,both,Something was too around.,,
around,preposition,,comparative_more,both,Something was more around than something else.,,
around,preposition,,inflectional_comparison,both,Something was around+er than something else.,,morphology+er
around,preposition,,right_mod,judgment,Something was right around.,,
around,preposition,,enough_postposed,judgment,Something was around enough.,,
around,preposition,,enough_preposed,judgment,Something was enough around.,,
around,preposition,,np_complement,both,Something was around something.,,
around,preposition,,gerund_gap_complement,judgment,Something was around doing.,,
around,preposition,,attributive,both,The around something happened.,,
around,preposition,,predicative_be,both,Something was around.,,
around,preposition,,postpositive,judgment,The something around happened.,note_postpositive,
around,preposition,,predeterminer_position,both,Around the something happened.,,
around,preposition,,determiner_function,both,Around something happened.,,
around,preposition,,fused_head,both,Someone saw around.,,
around,preposition,,partitive_of,both,Around of the somethings happened.,,
around,preposition,,un_prefix,both,Something was unaround.,orthographic_un,
around,preposition,,ly_adverb_base,both,Something happened around+ly.,,morphology+ly
around,preposition,,ness_nominalization,both,The around+ness of something.,,morphology+ness
around,preposition,,seem_complement,both,Something seemed around.,,
around,preposition,,become_complement,both,Something became around.,,
around,preposition,,coordination_with_adj,judgment,Something was old and around.,,
around,preposition,,fronting_pp,judgment,"Around something, something happened.",,
around,preposition,,stranding,judgment,The something that something was around __,,
before,preposition,,very_mod,both,Something was very before.,,
before,preposition,,too_mod,both,Something was too before.,,
before,preposition,,comparative_more,both,Something was more before than something else.,,
before,preposition,,inflectional_comparison,both,Something was before+er than something else.,,morphology+er
before,preposition,,right_mod,judgment,Something was right before.,,
before,preposition,,enough_postposed,judgment,Something was before enough.,,
before,preposition,,enough_preposed,judgment,Something was enough before.,,
before,preposition,,np_complement,both,Something was before something.,,
before,preposition,,gerund_gap_complement,judgment,Something was before doing.,,
before,preposition,,attributive,both,The before something happened.,,
before,preposition,,predicative_be,both,Something was before.,,
before,preposition,,postpositive,judgment,The something before happened.,note_postpositive,
before,preposition,,predeterminer_position,both,Before the something happened.,,
before,preposition,,determiner_function,both,Before something happened.,,
before,preposition,,fused_head,both,Someone saw before.,,
before,preposition,,partitive_of,both,Before of the somethings happened.,,
before,preposition,,un_prefix,both,Something was unbefore.,orthographic_un,
before,preposition,,ly_adverb_base,both,Something happened before+ly.,,morphology+ly
before,preposition,,ness_nominalization,both,The before+ness of something.,,morphology+ness
before,preposition,,seem_complement,both,Something seemed before.,,
before,preposition,,become_complement,both,Something became before.,,
before,preposition,,coordination_with_adj,judgment,Something was old and before.,,
before,preposition,,fronting_pp,judgment,"Before something, something happened.",,
before,preposition,,stranding,judgment,The something that something was before __,,
behind,preposition,,very_mod,both,Something was very behind.,,
behind,preposition,,too_mod,both,Something was too behind.,,
behind,preposition,,comparative_more,both,Something was more behind than something else.,,
behind,preposition,,inflectional_comparison,both,Something was behind+er than something else.,,morphology+er
behind,preposition,,right_mod,judgment,Something was right behind.,,
behind,preposition,,enough_postposed,judgment,Something was behind enough.,,
behind,preposition,,enough_preposed,judgment,Something was enough behind.,,
behind,preposition,,np_complement,both,Something was behind something.,,
behind,preposition,,gerund_gap_complement,judgment,Something was behind doing.,,
behind,preposition,,attributive,both,The behind something happened.,,
behind,preposition,,predicative_be,both,Something was behind.,,
behind,preposition,,postpositive,judgment,The something behind happened.,note_postpositive,
behind,preposition,,predeterminer_position,both,Behind the something happened.,,
behind,preposition,,determiner_function,both,Behind something happened.,,
behind,preposition,,fused_head,both,Someone saw behind.,,
behind,preposition,,partitive_of,both,Behind of the somethings happened.,,
behind,preposition,,un_prefix,both,Something was unbehind.,orthographic_un,
behind,preposition,,ly_adverb_base,both,Something happened behind+ly.,,morphology+ly
behind,preposition,,ness_nominalization,both,The behind+ness of something.,,morphology+ness
behind,preposition,,seem_complement,both,Something seemed behind.,,
behind,preposition,,become_complement,both,Something became behind.,,
behind,preposition,,coordination_with_adj,judgment,Something was old and behind.,,
behind,preposition,,fronting_pp,judgment,"Behind something, something happened.",,
behind,preposition,,stranding,judgment,The something that something was behind __,,
below,preposition,,very_mod,both,Something was very below.,,
below,preposition,,too_mod,both,Something was too below.,,
below,preposition,,comparative_more,both,Something was more below than something else.,,
below,preposition,,inflectional_comparison,both,Something was below+er than something else.,,morphology+er
below,preposition,,right_mod,judgment,Something was right below.,,
below,preposition,,enough_postposed,judgment,Something was below enough.,,
below,preposition,,enough_preposed,judgment,Something was enough below.,,
below,preposition,,np_complement,both,Something was below something.,,
below,preposition,,gerund_gap_complement,judgment,Something was below doing.,,
below,preposition,,attributive,both,The below something happened.,,
below,preposition,,predicative_be,both,Something was below.,,
below,preposition,,postpositive,judgment,The something below happened.,note_postpositive,
below,preposition,,predeterminer_position,both,Below the something happened.,,
below,preposition,,determiner_function,both,Below something happened.,,
below,preposition,,fused_head,both,Someone saw below.,,
below,preposition,,partitive_of,both,Below of the somethings happened.,,
below,preposition,,un_prefix,both,Something was unbelow.,orthographic_un,
below,preposition,,ly_adverb_base,both,Something happened below+ly.,,morphology+ly
below,preposition,,ness_nominalization,both,The below+ness of something.,,morphology+ness
below,preposition,,seem_complement,both,Something seemed below.,,
below,preposition,,become_complement,both,Something became below.,,
below,preposition,,coordination_with_adj,judgment,Something was old and below.,,
below,preposition,,fronting_pp,judgment,"Below something, something happened.",,
below,preposition,,stranding,judgment,The something that something was below __,,
beneath,preposition,,very_mod,both,Something was very beneath.,,
beneath,preposition,,too_mod,both,Something was too beneath.,,
beneath,preposition,,comparative_more,both,Something was more beneath than something else.,,
beneath,preposition,,inflectional_comparison,both,Something was beneath+er than something else.,,morphology+er
beneath,preposition,,right_mod,judgment,Something was right beneath.,,
beneath,preposition,,enough_postposed,judgment,Something was beneath enough.,,
beneath,preposition,,enough_preposed,judgment,Something was enough beneath.,,
beneath,preposition,,np_complement,both,Something was beneath something.,,
beneath,preposition,,gerund_gap_complement,judgment,Something was beneath doing.,,
beneath,preposition,,attributive,both,The beneath something happened.,,
beneath,preposition,,predicative_be,both,Something was beneath.,,
beneath,preposition,,postpositive,judgment,The something beneath happened.,note_postpositive,
beneath,preposition,,predeterminer_position,both,Beneath the something happened.,,
beneath,preposition,,determiner_function,both,Beneath something happened.,,
beneath,preposition,,fused_head,both,Someone saw beneath.,,
beneath,preposition,,partitive_of,both,Beneath of the somethings happened.,,
beneath,preposition,,un_prefix,both,Something was unbeneath.,orthographic_un,
beneath,preposition,,ly_adverb_base,both,Something happened beneath+ly.,,morphology+ly
beneath,preposition,,ness_nominalization,both,The beneath+ness of something.,,morphology+ness
beneath,preposition,,seem_complement,both,Something seemed beneath.,,
beneath,preposition,,become_complement,both,Something became beneath.,,
beneath,preposition,,coordination_with_adj,judgment,Something was old and beneath.,,
beneath,preposition,,fronting_pp,judgment,"Beneath something, something happened.",,
beneath,preposition,,stranding,judgment,The something that something was beneath __,,
